,tas_anom,model,period,region,co2_exp,period_idx,tas_obs,mae,median_mae,nmae
0,3.603446236677707,GFDL-CM2.1,eocene,global,1.0,0,14.0,10.396553763322293,10.346492258503893,1.0048385001957794
1,3.703569246314509,MIROC4m,eocene,global,1.0,0,14.0,10.296430753685492,10.346492258503893,0.9951614998042205
2,3.0931466179763314,COSMOS-landveg-r2413,eocene,global,1.0,0,14.0,10.90685338202367,10.346492258503893,1.054159526680089
3,3.779356002807617,HadCM3BL-M2.1aN,eocene,global,1.0,0,14.0,10.220643997192383,10.346492258503893,0.9878366253830544
4,3.5066349506378174,HadCM3B-M2.1aN,eocene,global,1.0,0,14.0,10.493365049362183,10.346492258503893,1.014195418813325
5,5.128739540017039,CESM1.2-CAM5,eocene,global,1.0,0,14.0,8.871260459982961,10.346492258503893,0.857417203660649
6,6.756103035517453,NorESM1-F,eocene,global,2.0,0,14.0,7.243896964482547,6.717541632434932,1.0783553509376353
7,7.282458367565068,GFDL-CM2.1,eocene,global,2.0,0,14.0,6.717541632434932,6.717541632434932,1.0
8,7.5714874821735965,MIROC4m,eocene,global,2.0,0,14.0,6.4285125178264035,6.717541632434932,0.9569739749415199
9,7.929643154144287,HadCM3BL-M2.1aN,eocene,global,2.0,0,14.0,6.070356845855713,6.717541632434932,0.9036574952577359
10,7.271954536437988,HadCM3B-M2.1aN,eocene,global,2.0,0,14.0,6.728045463562012,6.717541632434932,1.001563642133063
11,9.74008994395449,GFDL-CM2.1,eocene,global,3.0,0,14.0,4.259910056045509,2.688132878185561,1.584709628982652
12,10.61470810419965,MIROC4m,eocene,global,3.0,0,14.0,3.38529189580035,2.688132878185561,1.2593469330598561
13,11.311867121814439,COSMOS-landveg-r2413,eocene,global,3.0,0,14.0,2.688132878185561,2.688132878185561,1.0
14,12.830744743347168,HadCM3BL-M2.1aN,eocene,global,3.0,0,14.0,1.169255256652832,2.688132878185561,0.43496929267948137
15,11.119552612304688,HadCM3B-M2.1aN,eocene,global,3.0,0,14.0,2.8804473876953125,2.688132878185561,1.07154203985614
16,11.760931593754494,CESM1.2-CAM5,eocene,global,3.0,0,14.0,2.239068406245506,2.688132878185561,0.8329455825698747
17,11.778197288513184,IPSLCM5A2,eocene,global,3.0,0,14.0,2.2218027114868164,2.688132878185561,0.8265226505419223
18,9.613302776323037,NorESM1-F,eocene,global,4.0,0,14.0,4.386697223676963,2.1402667895867324,2.049602995766709
19,11.859733210413268,GFDL-CM2.1,eocene,global,4.0,0,14.0,2.1402667895867324,2.1402667895867324,1.0
20,13.038513488038681,COSMOS-landveg-r2413,eocene,global,4.0,0,14.0,0.9614865119613185,2.1402667895867324,0.4492367571366995
21,6.225346565246582,IPSLCM5A2,eocene,global,5.0,0,14.0,7.774653434753418,7.774653434753418,1.0
22,14.596757356554713,GFDL-CM2.1,eocene,global,6.0,0,14.0,0.5967573565547131,2.537660046052217,0.23516048080714186
23,10.148155747430406,INM-CM4-8,eocene,global,6.0,0,14.0,3.8518442525695935,2.537660046052217,1.517872442592074
24,16.537660046052217,CESM1.2-CAM5,eocene,global,6.0,0,14.0,2.537660046052217,2.537660046052217,1.0
25,22.237128533363574,CESM1.2-CAM5,eocene,global,9.0,0,14.0,8.237128533363574,8.237128533363574,1.0
26,-3.7173316548228437,INM-CM4-8,lgm,global,,3,-6.0,2.2826683451771563,2.0938755615409637,1.0901642805827738
27,-3.9061244384590363,MPI-ESM1-2-LR,lgm,global,,3,-6.0,2.0938755615409637,2.0938755615409637,1.0
28,-6.67214990088049,CESM2-FV2,lgm,global,,3,-6.0,0.6721499008804903,2.0938755615409637,0.32100756760627613
29,-0.08395860190735989,NorESM2-LM,lig127k,global,,2,1.021866349731268,1.105824951638628,1.1134304173131064,0.9931693390478485
