,tas_anom,model,period,region,co2_exp,Time Period idx,tas_obs,mae
0,6.756103035517453,NorESM1-F,eocene,global,2.0,0,14.0,7.243896964482547
1,9.613302776323037,NorESM1-F,eocene,global,4.0,0,14.0,4.386697223676963
2,7.282458367565068,GFDL-CM2.1,eocene,global,2.0,0,14.0,6.717541632434932
3,11.859733210413268,GFDL-CM2.1,eocene,global,4.0,0,14.0,2.1402667895867324
4,9.74008994395449,GFDL-CM2.1,eocene,global,3.0,0,14.0,4.259910056045509
5,14.596757356554713,GFDL-CM2.1,eocene,global,6.0,0,14.0,0.5967573565547131
6,3.603446236677707,GFDL-CM2.1,eocene,global,1.0,0,14.0,10.396553763322293
7,7.5714874821735965,MIROC4m,eocene,global,2.0,0,14.0,6.4285125178264035
8,10.61470810419965,MIROC4m,eocene,global,3.0,0,14.0,3.38529189580035
9,3.703569246314509,MIROC4m,eocene,global,1.0,0,14.0,10.296430753685492
10,13.038513488038681,COSMOS-landveg-r2413,eocene,global,4.0,0,14.0,0.9614865119613185
11,11.311867121814439,COSMOS-landveg-r2413,eocene,global,3.0,0,14.0,2.688132878185561
12,3.0931466179763314,COSMOS-landveg-r2413,eocene,global,1.0,0,14.0,10.90685338202367
13,10.148155747430406,INM-CM4-8,eocene,global,6.0,0,14.0,3.8518442525695935
14,7.929643154144287,HadCM3BL-M2.1aN,eocene,global,2.0,0,14.0,6.070356845855713
15,12.830744743347168,HadCM3BL-M2.1aN,eocene,global,3.0,0,14.0,1.169255256652832
16,3.779356002807617,HadCM3BL-M2.1aN,eocene,global,1.0,0,14.0,10.220643997192383
17,7.271954536437988,HadCM3B-M2.1aN,eocene,global,2.0,0,14.0,6.728045463562012
18,11.119552612304688,HadCM3B-M2.1aN,eocene,global,3.0,0,14.0,2.8804473876953125
19,3.5066349506378174,HadCM3B-M2.1aN,eocene,global,1.0,0,14.0,10.493365049362183
20,11.760931593754494,CESM1.2-CAM5,eocene,global,3.0,0,14.0,2.239068406245506
21,16.537660046052217,CESM1.2-CAM5,eocene,global,6.0,0,14.0,2.537660046052217
22,5.128739540017039,CESM1.2-CAM5,eocene,global,1.0,0,14.0,8.871260459982961
23,22.237128533363574,CESM1.2-CAM5,eocene,global,9.0,0,14.0,8.237128533363574
24,6.225346565246582,IPSLCM5A2,eocene,global,5.0,0,14.0,7.774653434753418
25,11.778197288513184,IPSLCM5A2,eocene,global,3.0,0,14.0,2.2218027114868164
26,-0.08395860190735989,NorESM2-LM,lig127k,global,,2,1.021866349731268,1.105824951638628
27,-0.2155279980244874,NorESM2-LM,midHolocene,global,,4,0.4391452517104131,0.6546732497349005
